cluster,time,YEAR,MONTH,DATE,HOUR,MIN,SEC,latitude,longitude,svr1,svr2,svr3,svr4,upload_transfer_size_mbytes,upload_bitrate_mbits/sec,download_transfer_size_rx_mbytes,download_bitrate_rx_mbits/sec,application_data,mean_latency,total_bitrate,pca1,pca2,cluster
0,1656887384.3311157,2022.0,7.0,4.0,7.984646878198567,30.171443193449335,29.315762538382806,-37.75628002763562,144.80083356397134,56.73009211873081,56.18213920163766,55.19500511770726,72.22405322415557,1.250196951765609,-0.6134436215155327,2.623244626407369,0.048312580295542924,0.005876132141238181,-0.3438318441142087,-0.155966602200223,-0.25672319933726334,0.011860483384272872,0.0
1,1656886116.7083333,2022.0,7.0,4.0,7.599537037037037,32.133101851851855,30.38888888888889,-37.75730774768518,144.80237638425928,41.57719907407407,41.65960648148148,40.67604166666666,60.19328703703704,2.625150462962963,1.3865957947136747,3.797106481481481,0.6667555501923736,0.005620425498044004,-0.4237111114012497,1.0475318920118606,1.7129246047006987,-0.6143351284321633,1.0
2,1656892312.0550847,2022.0,7.0,4.0,9.334745762711865,31.3135593220339,28.156779661016948,-37.757507516949154,144.80543005932202,895.6398305084746,893.9406779661017,894.0677966101695,902.9703389830509,1.2817372881355933,-0.5675713676774445,2.560015227754237,0.014954763985922666,0.006473613997637172,4.410249849142938,-0.17094509268468897,-1.0225335539796767,3.761643712243722,2.0
3,1656883505.006111,2022.0,7.0,4.0,6.924487123526844,29.12352684417285,29.440855521606284,-37.750989671322564,144.79949566041032,37.88882584024444,37.4126582278481,36.08856394587516,54.85460497599301,2.5611086861632475,1.2935448016029092,1.3282941656891094,-0.6338754719416867,0.005309930382624049,-0.4490869778835566,-0.14760950926143152,0.08115516373278012,-1.2125976700950831,3.0
4,1656893946.323077,2022.0,7.0,4.0,9.892307692307693,25.046153846153846,31.246153846153845,-37.759258076923075,144.8038716,94.34461538461538,92.92153846153846,108.68615384615386,123.3,1.25,-0.613728118099522,6.874923076923077,2.288188000322466,0.0070639683650089696,-0.0896381523393971,1.8501018347974783,2.4232948543859134,1.2784916444660097,4.0
5,1656888611.039409,2022.0,7.0,4.0,8.301724137931034,31.588669950738915,29.51231527093596,-37.75926013546798,144.8022336366995,68.31551724137931,68.35147783251232,67.50738916256158,84.91256157635468,1.2485625769704434,-0.6158395435321452,4.363029556650247,0.9648843849166611,0.006144335704483966,-0.2745645195244556,0.6641894900406775,0.8440872966424986,0.5034815698113537,5.0
6,1656891425.689759,2022.0,7.0,4.0,9.093373493975903,31.009036144578314,29.003012048192772,-37.757992822289154,144.80798755722893,400.32289156626507,400.5328313253012,399.5153614457831,426.49397590361446,1.243368905308735,-0.6234355616216429,2.057741287415286,-0.2493973441009296,0.006780230855367226,1.6260213447079763,-0.4258579239395126,-0.9363181239549695,1.4431308322880942,6.0
7,1656891770.0666666,2022.0,7.0,4.0,9.2,30.4,26.066666666666666,-37.771816933333334,144.79864846666666,58.84666666666667,60.166666666666664,62.05333333333333,75.32666666666667,2.6666666666666665,1.4471084142591826,6.693333333333333,2.1927979848876142,0.00625966389973954,-0.3210124446766348,2.4339966573456056,3.586603845366736,0.166513820306099,7.0
8,1656884917.2693093,2022.0,7.0,4.0,7.331681725444477,28.2279218886622,29.539784319440397,-37.75393808394054,144.79946039172253,44.589711454386475,44.350638297872344,43.38630136986301,60.957505100553774,1.2499162165731563,-0.6138442104758639,1.1614211047936098,-0.7217336877720092,0.0056522800775770455,-0.4106718647450579,-0.8457942922473838,-1.1816410813731464,-0.40701938283139993,8.0
